First Name,Last Name,Gender,Email,Hire Date,Salary,IsActive,HourlyRate,Marital Status,Street,City,State,ZIP Code
Charlotte,Wise,Female,monica72@example.org,2003-04-07,9596,FALSE,135,Married,120 Yew St,Providence,RI,38207
Eugene,Harper,Female,kristenayers@example.org,1997-09-26,2913,TRUE,138,Divorced,778 Quince St,Helena,MT,20101
Nicolas,Macias,Female,terryrandolph@example.org,2003-06-14,11167,FALSE,155,Married,588 Katsura St,Salt Lake City,UT,94974
Cassidy,Page,Male,jessewells@example.org,2015-01-04,4222,TRUE,89,Divorced,622 Juniper St,Springfield,IL,90857
Brenda,Logan,Male,edgarkane@example.com,1988-06-15,12523,TRUE,139,Single,819 Walnut St,Lansing,MI,47424
Yesenia,Knight,Male,ramseykristine@example.com,1992-08-31,10296,TRUE,33,Single,973 Beech St,Sacramento,CA,30212
Madison,Pittman,Male,anita71@example.net,1988-05-28,6860,TRUE,63,Single,620 Sequoia St,Lincoln,NE,32241
Kara,Garrett,Female,thorntonsally@example.org,2010-03-16,10341,FALSE,47,Married,109 Wisteria St,Charleston,WV,79316
Shelly,Fisher,Male,uellis@example.com,2002-11-13,11928,TRUE,155,Married,678 Hickory St,Little Rock,AR,63490
Jared,Velazquez,Male,xreese@example.net,1980-04-25,13861,TRUE,196,Divorced,465 Umbrella St,Madison,WI,70389
Charles,Gonzales,Male,farmermisty@example.net,1987-10-21,5775,TRUE,65,Divorced,325 Fir St,Madison,WI,93565
Helen,Morales,Male,mariah69@example.org,1992-05-26,9707,TRUE,76,Divorced,924 Oak St,Harrisburg,PA,69288
Alexandria,Durham,Female,rshah@example.net,1995-03-03,4622,TRUE,128,Divorced,883 Juniper St,Columbia,SC,38530
Joyce,Schroeder,Male,batesdorothy@example.com,1982-01-22,13628,FALSE,190,Married,357 Spruce St,Olympia,WA,97563
Brett,Morrison,Female,teresabrock@example.org,2017-08-26,13184,TRUE,94,Married,106 Elm St,Bismarck,ND,44806
Isaiah,Ponce,Female,zmarks@example.net,1991-07-24,4015,FALSE,40,Single,992 Tupelo St,Hartford,CT,30434
Donald,Bennett,Male,wintersanthony@example.com,2015-07-11,7741,TRUE,177,Married,336 Poplar St,Tallahassee,FL,87191
Logan,Harvey,Male,omoore@example.net,2001-07-31,12034,TRUE,143,Married,683 Hemlock St,St. Paul,MN,33334
Jesus,Crosby,Female,kathleenbishop@example.com,2015-08-26,4201,FALSE,91,Married,236 Cypress St,Salt Lake City,UT,68368
Malik,Small,Female,shirley05@example.org,2021-02-16,6430,FALSE,193,Single,568 Yew St,Santa Fe,NM,80864
Bridget,Pearson,Female,zcooper@example.net,2011-10-04,13389,TRUE,138,Married,529 Poplar St,Salem,OR,20569
Dakota,Costa,Female,christineconley@example.com,1980-03-16,11008,FALSE,154,Divorced,344 Sycamore St,Salem,OR,82941
Evelyn,Weiss,Female,destinycastaneda@example.net,2008-12-05,6672,FALSE,85,Married,983 Plum St,Richmond,VA,16582
Lisa,Porter,Female,yvettemcintyre@example.com,2006-04-01,13564,TRUE,181,Single,425 Cedar St,Denver,CO,69693
Jordan,Potts,Male,janice62@example.org,1983-07-20,3227,FALSE,186,Married,470 Teak St,Harrisburg,PA,74185
Eric,Cannon,Female,mistyzhang@example.com,2022-03-01,3655,FALSE,88,Married,560 Mahogany St,Austin,TX,80523
Dustin,Shepard,Female,patricia76@example.net,2002-09-22,8562,FALSE,145,Single,912 Larch St,Atlanta,GA,50967
Dakota,Andersen,Female,nporter@example.com,2010-07-14,9661,FALSE,145,Divorced,565 Poplar St,Honolulu,HI,98152
Eduardo,Mata,Male,crystalcooper@example.org,2021-03-28,6156,TRUE,126,Married,424 Oak St,Albany,NY,57734
Patrick,Romero,Male,bmaldonado@example.org,1992-11-01,8357,TRUE,98,Divorced,480 Beech St,Augusta,ME,11430
Joe,Guerrero,Female,deansheppard@example.com,2021-02-02,12593,FALSE,39,Married,519 Pear St,Trenton,NJ,13040
Danny,Gamble,Female,maureen76@example.org,2014-06-04,3579,TRUE,145,Married,638 Tupelo St,Frankfort,KY,46335
Natalie,Alexander,Female,danielshailey@example.com,2014-09-04,6093,TRUE,94,Married,173 Palm St,Oklahoma City,OK,94025
William,Singleton,Female,neil88@example.com,1992-10-20,1972,FALSE,162,Single,600 Cypress St,Springfield,IL,10629
Kaylee,Bernard,Male,felicia55@example.net,2008-05-03,2427,TRUE,128,Divorced,851 Beech St,Lincoln,NE,73303
Tyrone,Strong,Female,zmullen@example.net,2002-01-13,5735,FALSE,153,Single,941 Mimosa St,Richmond,VA,37600
Pam,Carey,Male,johnnygarcia@example.net,1991-07-26,2530,FALSE,108,Single,926 Bamboo St,Montpelier,VT,17097
Don,Lowe,Female,hunter01@example.net,2004-01-03,1415,TRUE,177,Divorced,115 Hickory St,Concord,NH,25117
Michaela,Boyd,Female,awheeler@example.org,1980-01-16,6990,FALSE,80,Married,644 Linden St,Topeka,KS,79546
Nicolas,Hester,Male,deborah20@example.net,2019-01-20,5504,FALSE,79,Divorced,428 Beech St,Charleston,WV,58460
Michele,Huffman,Female,dproctor@example.org,2006-11-19,10801,FALSE,169,Divorced,764 Birch St,Phoenix,AZ,58865
Ronald,Bryant,Male,zcolon@example.com,2021-03-26,7442,FALSE,95,Divorced,229 Katsura St,Oklahoma City,OK,22732
Cristian,Knight,Male,bryanalexander@example.net,1997-06-22,10582,TRUE,192,Divorced,755 Cedar St,Nashville,TN,19149
Beth,Guerra,Female,kramerdoris@example.com,2008-12-31,5651,FALSE,185,Single,481 Chestnut St,Santa Fe,NM,28622
Adrian,Banks,Male,rojasdennis@example.org,2011-07-24,12557,TRUE,70,Single,860 Maple St,Columbus,OH,50307
Sabrina,Espinoza,Female,hutchinsonlance@example.org,1992-01-16,9967,FALSE,101,Single,187 Alder St,Phoenix,AZ,45501
Johnathan,Raymond,Male,torrestim@example.net,2000-08-13,4243,TRUE,193,Single,242 Larch St,Sacramento,CA,99356
Aimee,Pennington,Female,gwendolyn26@example.net,2016-08-27,6729,FALSE,176,Single,660 Wisteria St,Charleston,WV,27605
Wesley,Mcconnell,Male,masonjesse@example.com,1996-09-12,11831,TRUE,94,Single,691 Magnolia St,Juneau,AK,54973
Kara,Sweeney,Male,scott58@example.net,2018-06-23,11799,FALSE,152,Single,556 Pear St,Baton Rouge,LA,66748
Hayden,Freeman,Male,zbrennan@example.org,2006-05-07,12620,FALSE,137,Single,438 Banyan St,Atlanta,GA,12636
Monique,Gonzalez,Female,zhendricks@example.net,2016-06-08,9435,FALSE,40,Divorced,536 Bamboo St,Boise,ID,63203
Kyle,Hodge,Male,amy15@example.net,2019-08-23,7642,TRUE,53,Single,892 Pine St,Little Rock,AR,85135
Douglas,Steele,Male,fernando21@example.net,2002-12-06,7428,TRUE,72,Divorced,428 Elm St,Olympia,WA,63898
Heidi,Mccormick,Female,ubaxter@example.com,2002-01-10,9578,FALSE,144,Divorced,505 Sumac St,Little Rock,AR,65906
Tracy,Barajas,Female,randall80@example.com,2001-01-08,13746,TRUE,77,Single,823 Bamboo St,Charleston,WV,40426
Don,Aguirre,Female,yprince@example.org,1998-12-02,13540,FALSE,77,Single,961 Pecan St,Springfield,IL,11744
Ashley,Guerrero,Male,owenmiranda@example.com,2017-03-24,3906,FALSE,197,Single,379 Quince St,Columbus,OH,26083
Craig,Berry,Female,walterspamela@example.org,1995-02-03,9054,TRUE,183,Divorced,616 Mahogany St,Jefferson City,MO,13738
Jeremy,Terry,Male,cory86@example.net,2022-02-05,12208,TRUE,118,Divorced,231 Cedar St,Montpelier,VT,69767
Elijah,Rasmussen,Female,nealjade@example.org,2008-08-09,2140,TRUE,72,Married,975 Teak St,Augusta,ME,54077
Sharon,Mosley,Female,jeancobb@example.org,2023-10-21,10458,FALSE,190,Single,552 Willow St,Concord,NH,25128
Kenneth,Garrison,Female,robert54@example.com,2014-03-08,5261,TRUE,73,Single,971 Poplar St,Richmond,VA,68790
Alan,Keith,Male,tyler37@example.com,2000-06-06,8861,TRUE,152,Married,192 Hickory St,Providence,RI,97126
Tony,Henson,Male,erica64@example.org,1992-06-02,8643,TRUE,85,Married,477 Yew St,Charleston,WV,53490
Angelica,Rogers,Female,pottercraig@example.com,2004-12-27,7552,TRUE,116,Divorced,827 Ash St,Augusta,ME,57183
Connie,Rivera,Male,owensricky@example.com,2017-11-06,8540,FALSE,31,Single,888 Juniper St,Springfield,IL,47995
Kayla,Russell,Male,guerrerosonya@example.net,1991-02-16,10810,FALSE,139,Single,161 Viburnum St,Lincoln,NE,87585
Matthew,Martinez,Female,hayden42@example.com,2011-10-24,13097,TRUE,193,Divorced,720 Oak St,Lincoln,NE,82312
Johnny,Sheppard,Female,lopezdarlene@example.com,2009-09-18,9313,TRUE,194,Single,918 Magnolia St,Frankfort,KY,43067
Anita,Bender,Female,adam41@example.org,2001-12-19,8237,TRUE,72,Divorced,891 Pecan St,Raleigh,NC,87079
Anna,Thomas,Male,enorman@example.net,2008-10-04,5814,TRUE,45,Single,532 Fir St,Trenton,NJ,84642
Logan,Hobbs,Male,hoganvernon@example.com,1981-08-09,2837,TRUE,96,Divorced,441 Yew St,Annapolis,MD,90250
Nathan,Hoffman,Female,tgilmore@example.com,2023-07-26,3030,FALSE,77,Single,494 Beech St,St. Paul,MN,35734
Sherri,Bauer,Male,pbrewer@example.org,1990-09-11,9279,FALSE,140,Married,233 Cedar St,Frankfort,KY,99519
Jaime,Duran,Male,sonia06@example.com,1989-12-09,9703,TRUE,81,Divorced,829 Wisteria St,Trenton,NJ,33131
Robyn,Valenzuela,Male,philip72@example.org,1993-10-04,9947,FALSE,116,Single,268 Sequoia St,Salem,OR,16512
Kayla,Carter,Male,walterchristian@example.net,1979-12-04,8875,FALSE,59,Divorced,675 Holly St,Dover,DE,25941
Gary,Christian,Female,scottgarrett@example.net,2013-10-27,10425,FALSE,96,Married,752 Oak St,Oklahoma City,OK,45157
Molly,Williams,Male,jmills@example.com,2022-12-07,10403,FALSE,133,Married,407 Viburnum St,Raleigh,NC,36535
Ellen,Douglas,Female,faith68@example.net,1989-04-29,12706,TRUE,190,Married,961 Pecan St,Lincoln,NE,12720
Alison,Webb,Male,aimeecarrillo@example.com,2000-11-12,13415,FALSE,100,Married,184 Viburnum St,Bismarck,ND,68104
Vernon,Short,Male,lrosario@example.net,1999-10-01,11215,TRUE,108,Single,609 Wisteria St,Helena,MT,29507
Jermaine,Crawford,Female,jayrios@example.com,2003-03-01,4031,TRUE,95,Divorced,960 Ash St,Springfield,IL,90183
Vincent,Landry,Male,hollowayshawn@example.net,1990-11-20,10307,FALSE,105,Single,477 Birch St,Juneau,AK,93592
Howard,Bennett,Male,ray13@example.com,1984-12-08,5967,FALSE,86,Divorced,378 Oak St,Boise,ID,80353
Mathew,Spencer,Male,jeanhays@example.net,2006-09-01,12764,FALSE,47,Single,384 Sumac St,Cheyenne,WY,52612
Chelsea,Morrison,Female,costadave@example.org,2011-12-29,12544,FALSE,66,Divorced,767 Palm St,Boise,ID,22918
Jasmin,Sweeney,Male,lyonsjoyce@example.com,2006-12-20,11540,TRUE,114,Divorced,825 Pecan St,Carson City,NV,17786
Jessica,Warner,Male,elindsey@example.net,2011-05-16,12326,FALSE,142,Married,156 Cypress St,Nashville,TN,75074
Kari,Whitehead,Male,chelseyrich@example.net,1979-03-06,11671,FALSE,125,Divorced,616 Wisteria St,Pierre,SD,85452
Cassandra,Gates,Male,alejandrosmall@example.com,2020-07-03,5424,FALSE,80,Divorced,910 Pecan St,Harrisburg,PA,34071
Kirk,Schwartz,Female,donnamack@example.net,2015-06-06,5625,FALSE,56,Divorced,774 Banyan St,Pierre,SD,36262
Mercedes,Fry,Male,colincalderon@example.com,1986-03-02,11946,TRUE,126,Single,276 Olive St,Des Moines,IA,15477
Alicia,Bell,Female,colemarisa@example.net,2013-10-14,9286,FALSE,36,Single,897 Oak St,Frankfort,KY,27756
Wanda,Gregory,Male,miranda88@example.net,1980-12-02,6800,TRUE,52,Divorced,836 Hickory St,Honolulu,HI,79126
Kelli,Riddle,Female,dariusstephenson@example.org,1979-07-01,6096,FALSE,60,Divorced,476 Olive St,Albany,NY,81531
Molly,Wood,Female,delgadohayley@example.net,2007-06-05,11014,FALSE,189,Single,107 Oak St,Phoenix,AZ,69501
Dan,Blake,Female,ezuniga@example.net,1995-02-17,10053,TRUE,198,Divorced,659 Cherry St,Augusta,ME,43428
Katelyn,Jensen,Male,vaughnmartin@example.org,2012-09-19,8911,FALSE,107,Single,297 Juniper St,Dover,DE,55123
Anne,Simpson,Female,vreese@example.net,2008-04-03,13862,FALSE,91,Divorced,522 Willow St,Raleigh,NC,13907
Amanda,Nicholson,Male,sherri77@example.org,2005-09-08,4238,FALSE,187,Single,696 Dogwood St,Frankfort,KY,57633
Molly,Contreras,Female,sheena38@example.net,2010-10-28,11835,TRUE,121,Divorced,791 Tupelo St,Columbia,SC,28616
Clifford,Garner,Male,elaine04@example.net,1991-09-26,8062,FALSE,91,Married,165 Bamboo St,Sacramento,CA,72937
Jasmin,Escobar,Female,stanley59@example.net,2008-10-24,3020,TRUE,60,Married,222 Tupelo St,Oklahoma City,OK,13844
Tami,Stephenson,Male,randall93@example.org,1979-06-10,12148,TRUE,160,Divorced,669 Plum St,Frankfort,KY,15184
Chad,Garza,Female,tombarnett@example.net,2019-10-10,3537,FALSE,74,Single,896 Palm St,Juneau,AK,68816
Miguel,Ibarra,Female,kduffy@example.com,1999-12-01,6591,FALSE,165,Single,640 Holly St,Frankfort,KY,38474
Christina,Castillo,Male,mhahn@example.net,2015-09-01,12010,FALSE,133,Single,129 Pear St,Cheyenne,WY,16779
Frances,Fry,Male,brandon51@example.org,2012-06-11,6927,TRUE,169,Single,961 Zelkova St,Concord,NH,19623
Jillian,Vasquez,Male,wileypriscilla@example.net,1981-08-01,9117,FALSE,54,Single,753 Hickory St,Denver,CO,64231
Alexandra,Hopkins,Female,ihowe@example.net,2020-12-10,11717,FALSE,56,Divorced,693 Banyan St,Tallahassee,FL,39500
Brad,Santiago,Female,jermaine46@example.org,2004-11-05,3480,TRUE,74,Married,216 Maple St,Carson City,NV,54068
Alison,Levy,Female,rklein@example.com,2014-10-12,10945,FALSE,173,Married,483 Mahogany St,St. Paul,MN,36399
Tristan,Alvarado,Male,troy86@example.org,2007-07-27,6507,FALSE,172,Divorced,527 Walnut St,Sacramento,CA,44902
Robyn,Benjamin,Female,leonardricardo@example.org,2006-06-10,10207,TRUE,75,Married,161 Elder St,Jackson,MS,54246
Paige,Ortega,Female,xmoody@example.com,1987-07-20,7558,TRUE,158,Single,937 Viburnum St,St. Paul,MN,14352
Andrea,Duncan,Male,kcantrell@example.net,2016-06-10,5328,FALSE,125,Single,628 Juniper St,Indianapolis,IN,50613
Jesse,Buck,Male,thomas45@example.org,1993-05-28,5350,FALSE,48,Married,673 Cedar St,Harrisburg,PA,66479
Rachel,Schultz,Male,toddfuentes@example.com,2020-05-16,1657,TRUE,120,Divorced,448 Pecan St,Baton Rouge,LA,60269
Kathy,Elliott,Male,francocole@example.com,1998-07-19,6373,TRUE,77,Divorced,878 Poplar St,Phoenix,AZ,86269
Alec,Tucker,Male,rstokes@example.net,2010-09-28,11385,FALSE,111,Single,548 Cedar St,Oklahoma City,OK,91007
Jon,Diaz,Male,ikeller@example.com,1989-09-02,9331,TRUE,135,Married,124 Wisteria St,Juneau,AK,64212
Derek,Grant,Male,jdelacruz@example.org,2010-05-13,1330,TRUE,88,Married,946 Chestnut St,Frankfort,KY,20604
Justin,Velez,Female,zvaughan@example.org,2001-08-22,3251,FALSE,116,Divorced,916 Fir St,Jackson,MS,49178
Jody,Friedman,Male,xsosa@example.com,1993-11-28,6587,FALSE,178,Divorced,292 Alder St,Boston,MA,27016
Kylie,Cohen,Female,sharris@example.net,2023-04-16,3711,TRUE,180,Married,709 Tupelo St,Lincoln,NE,69615
Kaitlin,Ward,Male,bergbobby@example.net,2016-12-26,12250,FALSE,162,Single,495 Holly St,St. Paul,MN,77063
Ricardo,Love,Female,tasha38@example.net,2018-05-13,8432,FALSE,141,Single,816 Umbrella St,Richmond,VA,45099
Doris,Gallagher,Female,spratt@example.com,2019-12-04,12031,FALSE,53,Divorced,474 Tamarack St,Phoenix,AZ,33985
Micheal,Duncan,Female,amber39@example.net,1988-10-23,3200,FALSE,113,Single,200 Walnut St,Sacramento,CA,51620
Kaitlin,Mcneil,Male,scott24@example.com,1997-10-16,13282,FALSE,114,Divorced,346 Fir St,Austin,TX,70605
George,Mathis,Female,nhull@example.com,1997-08-18,12204,FALSE,181,Single,861 Larch St,Harrisburg,PA,17497
Xavier,Pineda,Male,smoyer@example.com,1996-06-02,5207,TRUE,85,Married,538 Bamboo St,Santa Fe,NM,56571
Bob,Woodward,Female,mcherry@example.com,2001-05-23,13915,TRUE,136,Divorced,532 Hemlock St,Helena,MT,42580
Andres,Schmitt,Female,lawrencejacobson@example.com,2008-01-14,4887,TRUE,190,Married,175 Elder St,Phoenix,AZ,45888
Cathy,Lewis,Male,vaughannathaniel@example.net,2015-06-12,4016,TRUE,182,Divorced,942 Willow St,Augusta,ME,64844
Fred,Gates,Male,hweeks@example.net,2019-08-24,6864,TRUE,188,Divorced,218 Poplar St,Honolulu,HI,64105
Bonnie,Choi,Male,gilmorehenry@example.com,2006-04-16,9826,FALSE,160,Single,495 Hemlock St,Madison,WI,58360
Paige,Carrillo,Female,hubbarddarlene@example.net,2021-10-08,10476,FALSE,154,Married,939 Ash St,Olympia,WA,36738
Mariah,Santiago,Female,phillip65@example.com,1989-08-21,6010,TRUE,159,Single,624 Ash St,Pierre,SD,76806
Brendan,Schneider,Female,bowersdylan@example.net,2022-10-29,3198,FALSE,188,Divorced,243 Pecan St,Salem,OR,46393
James,Sherman,Female,xstrickland@example.net,1997-08-10,5830,TRUE,147,Divorced,591 Sumac St,Boston,MA,77070
Melvin,Weeks,Male,kerrimiranda@example.org,1993-05-30,2651,TRUE,88,Single,300 Plum St,Boston,MA,19504
Claudia,Hayden,Male,lisaknight@example.org,2003-01-31,13451,TRUE,42,Single,222 Fir St,Jefferson City,MO,32283
Catherine,Shields,Male,sdougherty@example.net,2006-04-26,2253,FALSE,45,Divorced,153 Sumac St,Charleston,WV,91136
Sherry,Ellison,Female,ncampos@example.net,2019-08-24,9800,FALSE,150,Single,346 Viburnum St,Olympia,WA,50404
Sherry,Best,Female,ohurley@example.com,2021-12-24,4033,TRUE,39,Single,328 Quince St,Santa Fe,NM,79805
Edgar,Holder,Male,mosessonia@example.net,2008-09-23,6569,FALSE,80,Married,893 Cypress St,Helena,MT,52109
Rachael,Callahan,Female,haneysharon@example.net,1979-06-11,9572,TRUE,122,Divorced,298 Umbrella St,Baton Rouge,LA,70730
Shane,Dunlap,Female,ibrewer@example.com,2007-11-27,1672,FALSE,53,Single,131 Pine St,Santa Fe,NM,46225
Natasha,Armstrong,Female,molinaapril@example.com,1993-08-11,3043,TRUE,42,Single,771 Dogwood St,Jefferson City,MO,65266
Erika,Hooper,Female,kaitlinfields@example.org,1991-06-13,6654,TRUE,90,Married,311 Tamarack St,Salt Lake City,UT,43410
Perry,Pittman,Female,orrcarl@example.net,2009-10-18,10817,FALSE,117,Divorced,811 Maple St,Lansing,MI,57064
Logan,Li,Female,qvance@example.org,1992-03-29,8865,FALSE,39,Married,745 Wisteria St,Dover,DE,98950
Penny,Orr,Female,singletonbrittney@example.com,1990-11-24,1210,FALSE,30,Divorced,167 Juniper St,Phoenix,AZ,96188
Sean,Glenn,Male,riveratheodore@example.com,1985-03-29,11949,TRUE,117,Single,859 Wisteria St,Harrisburg,PA,18415
Ann,Shaffer,Male,renee17@example.net,2002-11-03,7640,FALSE,104,Single,427 Poplar St,Austin,TX,16811
Danielle,Best,Male,alejandraflowers@example.org,2008-10-10,4856,FALSE,71,Single,361 Elm St,Dover,DE,90829
Caroline,Burke,Male,keylouis@example.net,2008-03-25,13684,FALSE,111,Single,794 Pecan St,Charleston,WV,52468
Yolanda,Weeks,Male,sherri65@example.com,2018-07-05,7338,FALSE,111,Divorced,179 Ash St,Salt Lake City,UT,65573
Shirley,Rios,Female,villarrealroy@example.com,2008-02-18,8942,FALSE,66,Divorced,426 Quince St,Dover,DE,40462
Roger,Richard,Female,mindy72@example.net,1986-03-27,12192,FALSE,112,Married,489 Holly St,Jackson,MS,39480
Vickie,Reese,Female,clinton95@example.com,2017-10-27,12544,TRUE,49,Divorced,979 Fir St,Montpelier,VT,95270
Jack,Mclean,Female,kendra13@example.net,2012-09-09,10631,TRUE,158,Married,614 Banyan St,Montpelier,VT,54521
Mandy,Watson,Male,lewisjaime@example.com,1999-05-08,13926,TRUE,162,Divorced,594 Poplar St,Cheyenne,WY,13618
Shari,Little,Male,bradshawpamela@example.com,1993-03-02,9595,FALSE,196,Divorced,157 Mimosa St,Sacramento,CA,49103
Sherry,Wall,Male,rivasisabel@example.org,2014-08-19,3143,TRUE,143,Single,685 Juniper St,Columbus,OH,19201
Thomas,Flowers,Male,normavance@example.com,1994-02-08,5753,FALSE,73,Married,653 Willow St,Salem,OR,78838
Joy,Callahan,Male,novakbridget@example.net,2004-02-16,12813,FALSE,178,Married,562 Poplar St,Baton Rouge,LA,66856
Preston,Bailey,Female,tfinley@example.com,2014-04-12,3554,TRUE,50,Single,127 Linden St,Olympia,WA,54779
Crystal,Greene,Female,lmontes@example.net,2003-04-15,6707,FALSE,107,Single,584 Sumac St,Jackson,MS,32780
Victoria,Miranda,Male,rileyjohns@example.org,2006-12-14,10257,TRUE,59,Single,812 Ash St,Columbus,OH,97005
Maria,Mosley,Female,comptonclarence@example.org,1984-11-05,4304,TRUE,47,Married,328 Pear St,Harrisburg,PA,38405
Glenn,Charles,Male,rioskellie@example.org,2009-12-14,11514,TRUE,113,Single,113 Hickory St,Lincoln,NE,74970
Kenneth,Vang,Male,travisjarvis@example.com,2009-03-05,6638,FALSE,33,Married,774 Fir St,Frankfort,KY,61965
Vicki,Owen,Male,bakersally@example.net,2005-08-05,5779,TRUE,43,Married,790 Beech St,Montpelier,VT,88951
